Scanning 2774 .FAN files in data/e1-dos/

File                                                Ver  NNS Internal Name                 
SCENES/KNIGHT2.FAN                                   24    - knight2                       
SCENES/KNIGHT3.FAN                                   24    - knight3                       
SCENES/KNIGHT4.FAN                                   24    - knight4                       
SCENES/KNIT_NOT.FAN                                  24    - knit_not                      
SCENES/L1.FAN                                        24    - l1                            
SCENES/LAD.FAN                                       19    - -                             
SCENES/LAD2.FAN                                      19    - -                             
SCENES/LADY1.FAN                                     24    - lady1                         
SCENES/LADY2.FAN                                     24    - lady2                         
SCENES/LADY3.FAN                                     26    0 lady3                         
SCENES/LADY4.FAN                                     25    - lady4                         
SCENES/LAKE1.FAN                                     25    - lake1                         
SCENES/LETTRING.FAN                                   9    - -                             
SCENES/LIBRARY.FAN                                    8    - -                             
SCENES/LIDDLEGI.FAN                                  20    - -                             
SCENES/LITTLE.FAN                                    14    - -                             
SCENES/LIT_PIGY.FAN                                  10    - -                             
SCENES/LOOK_OUT.FAN                                  23    - look_out                      
SCENES/M1.FAN                                        24    - m1                            
SCENES/M3_4.FAN                                      24    - m3_4                          
SCENES/MEAN1.FAN                                     24    - mean1                         
SCENES/MEAN2.FAN                                      8    - -                             
SCENES/MEAN3.FAN                                     27    0 mean3                         
SCENES/MIN.FAN                                       25    - min                           
SCENES/MINO1.FAN                                     25    - mino1                         
SCENES/MINO2.FAN                                     25    - mino2                         
SCENES/MINO3.FAN                                     25    - mino3                         
SCENES/MINO5.FAN                                     25    - mino5                         
SCENES/MINO6.FAN                                      8    - -                             
SCENES/MINOTOR.FAN                                   25    - minotor                       
SCENES/MINOTOR1.FAN                                   8    - -                             
SCENES/MINOTOR2.FAN                                  24    - minotor2                      
SCENES/MONK2_EN.FAN                                  24    - monk2_entrance                
SCENES/MONK2_RE.FAN                                  14    - -                             
SCENES/MONK3_4.FAN                                   24    - monk3_4                       
SCENES/MONK_ENT.FAN                                  24    - monk_entrance                 
SCENES/MONK_IN.FAN                                   23    - monk_in                       
SCENES/MONK_LIB.FAN                                  24    - monk_library                  
SCENES/MONK_OK.FAN                                    8    - -                             
SCENES/MONK_PRA.FAN                                  25    - monk_pray1                    
SCENES/MONK_REP.FAN                                  19    - -                             
SCENES/MONSTER.FAN                                   16    - -                             
SCENES/MON_GRIL.FAN                                  19    - -                             
SCENES/MON_PUT.FAN                                   24    - mon_put                       
SCENES/MON_SWAP.FAN                                  23    - mon_swap                      
SCENES/NEW.FAN                                       25    - new                           
SCENES/NEW1.FAN                                       9    - -                             
SCENES/NICE1.FAN                                     10    - -                             
SCENES/NICE2.FAN                                     10    - -                             
SCENES/NICE3.FAN                                     10    - -                             
